data name,rate,origin shape,origin range,filtered shape,filtered range,expr min,expr max,end idx
10X159_1_matrix.h5,0.0869,"(5730, 20280)",5962.0,"(498, 20280)",612.0,490,8947,57285064
10X318_7_matrix.h5,0.0943,"(5354, 20183)",3600.0,"(505, 20183)",838.0,739,7595,57285569
10X205_4_matrix.h5,0.1498,"(7916, 21114)",5829.0,"(1186, 21114)",765.0,466,8921,57286755
10X182_6_matrix.h5,0.0925,"(5578, 20728)",4664.0,"(516, 20728)",397.0,627,9944,57287271
10X175_7_matrix.h5,0.2111,"(5632, 19766)",1182.0,"(1189, 19766)",320.0,752,6147,57288460
10X205_2_matrix.h5,0.208,"(6883, 20730)",5677.0,"(1432, 20730)",903.0,351,8772,57289892
10X378_1_matrix.h5,0.5307,"(4196, 19738)",4272.0,"(2227, 19738)",568.0,526,7004,57292119
10X277_5_matrix.h5,0.1272,"(5674, 20676)",3924.0,"(722, 20676)",544.0,735,8455,57292841
10X387_5_matrix.h5,0.2406,"(6771, 20548)",2630.0,"(1629, 20548)",832.0,540,6466,57294470
10X379_8_matrix.h5,0.5385,"(6152, 19630)",3114.0,"(3313, 19630)",769.0,547,9433,57297783
10X237_2_matrix.h5,0.634,"(7645, 19964)",1093.0,"(4847, 19964)",411.0,612,6206,57302630
10X319_8_matrix.h5,0.9538,"(5564, 19307)",2938.0,"(5307, 19307)",582.0,475,8240,57307937
10X206_8_matrix.h5,0.1524,"(8495, 21016)",13798.0,"(1295, 21016)",772.0,675,12196,57309232
10X382_1_matrix.h5,0.117,"(5777, 20554)",2285.0,"(676, 20554)",316.0,636,8166,57309908
10X243_5_matrix.h5,0.8288,"(5660, 19343)",1859.0,"(4691, 19343)",498.0,496,7293,57314599
10X174_2_matrix.h5,0.0716,"(5380, 19773)",2933.0,"(385, 19773)",480.0,592,9260,57314984
10X358_2_matrix.h5,0.1853,"(7092, 20694)",4284.0,"(1314, 20694)",888.0,487,10155,57316298
10X349_5_matrix.h5,0.1277,"(6118, 20501)",2245.0,"(781, 20501)",406.0,677,7668,57317079
10X160_7_matrix.h5,0.0976,"(7190, 20630)",3125.0,"(702, 20630)",344.0,650,8947,57317781
10X356_1_matrix.h5,0.9093,"(5138, 19188)",1250.0,"(4672, 19188)",327.0,645,9398,57322453
