data name,rate,origin shape,origin range,filtered shape,filtered range,expr min,expr max,end idx
Brain_matrix.h5,0.9419,"(86, 10819)",1468.0,"(81, 10819)",1149.0,790,3835,81
PBMC_matrix.h5,0.9541,"(567, 12171)",8374.0,"(541, 12171)",986.0,439,3381,622
PB_s0816_matrix.h5,1.0,"(2467, 12595)",1499.0,"(2467, 12595)",1499.0,210,2396,3089
LC_s0816_matrix.h5,0.9991,"(5334, 14027)",2643.0,"(5329, 14027)",2643.0,245,2855,8418
LC_s0115_matrix.h5,0.9715,"(12400, 15487)",2842.0,"(12046, 15487)",2704.0,267,4329,20464
LC_s0920_matrix.h5,0.6704,"(18679, 16572)",2351.0,"(12523, 16572)",2351.0,210,5189,32987
LN_s0813_matrix.h5,0.9898,"(4423, 13932)",3363.0,"(4378, 13932)",3363.0,202,3571,37365
LN_s1231_matrix.h5,0.9957,"(7400, 13296)",2101.0,"(7368, 13296)",2101.0,331,3107,44733
CC_s1231_matrix.h5,0.9523,"(9031, 15882)",4455.0,"(8600, 15882)",4455.0,377,4883,53333
CN_s0107_matrix.h5,0.9972,"(6320, 13732)",3715.0,"(6302, 13732)",3715.0,350,3727,59635
PB_s0920_matrix.h5,0.9996,"(5286, 12992)",1592.0,"(5284, 12992)",1592.0,208,2550,64919
LN_s0107_matrix.h5,0.9952,"(7970, 13450)",2391.0,"(7932, 13450)",2391.0,292,3558,72851
CN_s0813_matrix.h5,0.9878,"(5248, 14621)",3305.0,"(5184, 14621)",3305.0,201,3489,78035
LN_s0920_matrix.h5,1.0,"(6905, 13328)",1460.0,"(6905, 13328)",1460.0,202,2183,84940
CC_s0813_matrix.h5,0.8616,"(9408, 16220)",2994.0,"(8106, 16220)",2994.0,204,5131,93046
LC_s0107_matrix.h5,0.9519,"(8703, 15326)",4481.0,"(8284, 15326)",4481.0,248,4745,101330
CC_s1125_matrix.h5,0.9875,"(7545, 14514)",4424.0,"(7451, 14514)",4424.0,200,3695,108781
LC_s1125_matrix.h5,0.9751,"(7295, 13925)",5069.0,"(7113, 13925)",5069.0,222,3946,115894
PB_s0115_matrix.h5,0.9962,"(7437, 12874)",2197.0,"(7409, 12874)",2197.0,415,3745,123303
CN_s1125_matrix.h5,0.9829,"(8172, 15093)",4232.0,"(8032, 15093)",4232.0,272,3703,131335
LN_s0115_matrix.h5,0.9967,"(5790, 12777)",2193.0,"(5771, 12777)",2193.0,379,3531,137106
LC_s0813_matrix.h5,0.7875,"(12581, 16475)",3626.0,"(9908, 16475)",3626.0,201,5347,147014
LN_s0816_matrix.h5,1.0,"(615, 9044)",783.0,"(615, 9044)",783.0,248,1573,147629
LN_s1125_matrix.h5,0.9593,"(12122, 14874)",4230.0,"(11629, 14874)",3959.0,225,3597,159258
CC_s0115_matrix.h5,0.9898,"(7273, 14768)",4397.0,"(7199, 14768)",4397.0,362,4891,166457
LC_s1231_matrix.h5,0.8212,"(16915, 16703)",3609.0,"(13890, 16703)",3609.0,304,5219,180347
CN_s1231_matrix.h5,0.9966,"(6385, 13591)",3832.0,"(6363, 13591)",3832.0,254,3276,186710
PB_s0813_matrix.h5,0.9932,"(3069, 13318)",1924.0,"(3048, 13318)",1924.0,200,3569,189758
CC_s0107_matrix.h5,0.8989,"(7911, 15728)",4955.0,"(7111, 15728)",4955.0,207,5341,196869
CN_s0115_matrix.h5,0.9983,"(4827, 13434)",3862.0,"(4819, 13434)",3862.0,390,3193,201688
CC_s0920_matrix.h5,0.8615,"(14262, 16444)",2583.0,"(12287, 16444)",2583.0,203,5078,213975
PB_s0107_matrix.h5,0.9968,"(6592, 12874)",1684.0,"(6571, 12874)",1684.0,346,3638,220546
NHL-7_d89_matrix.h5,1.0,"(197, 7075)",292.0,"(197, 7075)",292.0,358,1827,220743
NHL-7_d28_matrix.h5,0.9916,"(2382, 11069)",419.0,"(2362, 11069)",377.0,342,3055,223105
CLL-1_d38_matrix.h5,0.9833,"(4920, 11943)",566.0,"(4838, 11943)",518.0,351,3696,227943
NHL-6_d102_matrix.h5,0.9932,"(5023, 11533)",734.0,"(4989, 11533)",613.0,288,3021,232932
NHL-7_IP_matrix.h5,0.5936,"(3484, 12967)",963.0,"(2068, 12967)",649.0,861,5689,235000
CLL-1_d21_matrix.h5,0.922,"(6722, 12317)",475.0,"(6198, 12317)",433.0,526,4250,241198
CLL-2_d29_matrix.h5,0.9585,"(4287, 11819)",454.0,"(4109, 11819)",361.0,522,3745,245307
NHL-7_d12_matrix.h5,0.7044,"(2459, 11533)",878.0,"(1732, 11533)",421.0,748,4814,247039
CLL-2_d83_matrix.h5,0.9985,"(669, 9748)",426.0,"(668, 9748)",426.0,305,3206,247707
NHL-6_d29_matrix.h5,0.9679,"(6488, 12172)",575.0,"(6280, 12172)",411.0,380,4297,253987
CLL-1_d112_matrix.h5,1.0,"(1736, 10377)",472.0,"(1736, 10377)",472.0,299,2407,255723
CLL-2_d12_matrix.h5,0.8771,"(6271, 12151)",782.0,"(5500, 12151)",491.0,605,5115,261223
NHL-6_IP_matrix.h5,0.3241,"(4134, 13448)",1063.0,"(1340, 13448)",570.0,933,5922,262563
NHL-6_d12_matrix.h5,0.862,"(6117, 12284)",757.0,"(5273, 12284)",412.0,496,4472,267836
CLL-1_IP_matrix.h5,0.507,"(5515, 13279)",984.0,"(2796, 13279)",388.0,803,5675,270632
CLL-2_IP_matrix.h5,0.464,"(1763, 12151)",913.0,"(818, 12151)",327.0,770,5484,271450
H1_Motif_Optimized_matrix.h5,0.0736,"(5324, 17083)",2304.0,"(392, 17083)",474.0,267,8946,271842
H1_Control_matrix.h5,0.1356,"(1490, 16567)",4860.0,"(202, 16567)",1875.0,294,10195,272044
PTC85037_PBMCs_matrix.h5,0.9993,"(1496, 11520)",5579.0,"(1495, 11520)",5579.0,202,3298,273539
PST45044_CSF_matrix.h5,0.9877,"(8127, 14402)",1898.0,"(8027, 14402)",1352.0,339,4278,281566
MS49131_PBMCs_matrix.h5,0.9915,"(5152, 13936)",6060.0,"(5108, 13936)",6060.0,489,4267,286674
MS58637_CSF_matrix.h5,0.9963,"(2425, 12107)",4728.0,"(2416, 12107)",4728.0,338,3317,289090
PTC85037_CSF_matrix.h5,0.9972,"(1069, 10797)",634.0,"(1066, 10797)",634.0,204,2695,290156
MS71658_PBMCs_matrix.h5,0.9937,"(3332, 13400)",8318.0,"(3311, 13400)",8318.0,200,3536,293467
PTC32190_PBMCs_matrix.h5,0.9992,"(3892, 12867)",4755.0,"(3889, 12867)",4755.0,200,3024,297356
PST83775_CSF_matrix.h5,0.9763,"(1306, 12635)",1731.0,"(1275, 12635)",1731.0,200,3642,298631
MS74594_PBMCs_matrix.h5,0.9921,"(7741, 14616)",6984.0,"(7680, 14616)",6984.0,200,4282,306311
PST83775_PBMCs_matrix.h5,0.9891,"(3314, 13619)",7833.0,"(3278, 13619)",7833.0,201,3177,309589
MS49131_CSF_matrix.h5,0.9872,"(1404, 11953)",5271.0,"(1386, 11953)",2477.0,278,3414,310975
PTC41540_PBMCs_matrix.h5,0.999,"(5149, 13336)",8400.0,"(5144, 13336)",8400.0,200,3409,316119
PST95809_PBMCs_matrix.h5,0.9994,"(1727, 11655)",4033.0,"(1726, 11655)",4033.0,200,4045,317845
MS60249_CSF_matrix.h5,0.9502,"(7471, 14400)",11320.0,"(7099, 14400)",9574.0,326,4830,324944
PTC41540_CSF_matrix.h5,0.9981,"(1077, 11280)",1142.0,"(1075, 11280)",1142.0,204,2558,326019
MS19270_PBMCs_matrix.h5,0.9951,"(6087, 14035)",7060.0,"(6057, 14035)",7060.0,206,4016,332076
PST95809_CSF_matrix.h5,0.9915,"(702, 10546)",2651.0,"(696, 10546)",2651.0,205,3139,332772
MS74594_CSF_matrix.h5,0.9943,"(876, 11816)",8566.0,"(871, 11816)",8566.0,221,2970,333643
MS60249_PBMCs_matrix.h5,0.9985,"(3227, 13380)",3532.0,"(3222, 13380)",3532.0,215,3530,336865
PTC32190_CSF_matrix.h5,0.992,"(3493, 13363)",1087.0,"(3465, 13363)",1087.0,207,3198,340330
MS71658_CSF_matrix.h5,0.9963,"(3005, 12994)",1007.0,"(2994, 12994)",966.0,259,3357,343324
MS19270_CSF_matrix.h5,0.9765,"(4088, 13635)",13806.0,"(3992, 13635)",13806.0,293,4385,347316
Donor_06_matrix.h5,0.5106,"(4156, 15780)",7568.0,"(2122, 15780)",7568.0,500,4909,349438
Donor_05_matrix.h5,0.7148,"(5155, 15797)",8478.0,"(3685, 15797)",8478.0,575,4873,353123
Donor_07_matrix.h5,0.8415,"(7425, 15776)",5472.0,"(6248, 15776)",2997.0,609,4845,359371
Donor_04_matrix.h5,0.9237,"(4956, 15065)",4766.0,"(4578, 15065)",2644.0,507,4844,363949
Donor1_matrix.h5,0.7733,"(5183, 15713)",9393.0,"(4008, 15713)",9393.0,489,4875,367957
Donor_02_matrix.h5,0.5803,"(5032, 15497)",8866.0,"(2920, 15497)",8866.0,798,4923,370877
Donor_03_matrix.h5,0.9292,"(5129, 14960)",2491.0,"(4766, 14960)",2491.0,500,4817,375643
PA_PR5261_T_matrix.h5,0.9652,"(1780, 13673)",553.0,"(1718, 13673)",390.0,201,4816,377361
PA_PR5199_matrix.h5,0.9065,"(1187, 13950)",696.0,"(1076, 13950)",531.0,200,4857,378437
PA_PR5251_T_matrix.h5,0.686,"(1739, 14704)",1067.0,"(1193, 14704)",613.0,207,4921,379630
PA_PR5251_N_matrix.h5,0.8099,"(1126, 14273)",1423.0,"(912, 14273)",637.0,205,4891,380542
PA_PR5249_N_matrix.h5,0.9058,"(1731, 14075)",722.0,"(1568, 14075)",679.0,206,4894,382110
PA_AUG_PB_1B_S2_matrix.h5,0.8693,"(551, 12992)",1321.0,"(479, 12992)",684.0,207,4891,382589
PA_AUG_PB_1A_S1_matrix.h5,0.8582,"(388, 12938)",1785.0,"(333, 12938)",1266.0,201,4916,382922
PA_PR5196_matrix.h5,0.8436,"(2180, 14811)",1525.0,"(1839, 14811)",1525.0,213,4864,384761
PA_PR5254_T_matrix.h5,0.9414,"(546, 13200)",446.0,"(514, 13200)",244.0,200,4275,385275
PA_PR5269_matrix.h5,0.9498,"(2211, 14432)",636.0,"(2100, 14432)",471.0,201,4913,387375
PA_PB1A_matrix.h5,0.8787,"(1401, 14456)",1928.0,"(1231, 14456)",612.0,209,4916,388606
PA_PR5254_N_matrix.h5,0.9323,"(1079, 14093)",503.0,"(1006, 14093)",503.0,200,4888,389612
PA_PB2A_matrix.h5,0.682,"(937, 14713)",1240.0,"(639, 14713)",667.0,353,4903,390251
PA_PR5261_N_matrix.h5,0.9477,"(1090, 12935)",638.0,"(1033, 12935)",356.0,200,4534,391284
PA_PR5249_T_matrix.h5,0.9434,"(884, 13634)",496.0,"(834, 13634)",251.0,201,4819,392118
PA_PR5186_matrix.h5,0.6689,"(734, 14582)",1408.0,"(491, 14582)",1406.0,291,4922,392609
PA_PB1B_matrix.h5,0.8084,"(2082, 15115)",1936.0,"(1683, 15115)",1254.0,209,4915,394292
PA_PB2B_matrix.h5,0.8313,"(1120, 14454)",2031.0,"(931, 14454)",623.0,208,4895,395223
Patient5_matrix.h5,0.9542,"(131, 11909)",14193.0,"(125, 11909)",14193.0,207,4034,395348
Patient1_matrix.h5,0.9812,"(4584, 17237)",778.0,"(4498, 17237)",778.0,200,3537,399846
Patient3_matrix.h5,0.8698,"(215, 14094)",3026.0,"(187, 14094)",3026.0,229,5401,400033
Normal2_matrix.h5,0.8514,"(740, 13864)",1626.0,"(630, 13864)",786.0,410,4248,400663
Acne3_matrix.h5,0.923,"(896, 13642)",2322.0,"(827, 13642)",1580.0,260,4410,401490
Normal3_matrix.h5,0.9629,"(1429, 14131)",1520.0,"(1376, 14131)",1064.0,367,4490,402866
Psoriasis2_matrix.h5,0.894,"(1113, 14630)",4937.0,"(995, 14630)",4264.0,259,7009,403861
Psoriasis4_matrix.h5,0.9203,"(4342, 15600)",2344.0,"(3996, 15600)",1359.0,398,4597,407857
Alopecia1_matrix.h5,0.9927,"(1227, 14807)",2977.0,"(1218, 14807)",2977.0,320,3262,409075
GA1_matrix.h5,0.7493,"(1009, 14427)",3443.0,"(756, 14427)",2592.0,356,4113,409831
Normal1_matrix.h5,0.8716,"(2671, 16526)",3353.0,"(2328, 16526)",2392.0,372,4059,412159
Leprosy1_matrix.h5,0.9563,"(3683, 16187)",4782.0,"(3522, 16187)",4782.0,274,5340,415681
Acne2_matrix.h5,0.7407,"(243, 11635)",4290.0,"(180, 11635)",2847.0,336,5643,415861
Leprosy4_matrix.h5,0.9809,"(787, 12295)",2082.0,"(772, 12295)",1321.0,318,3522,416633
Acne1_matrix.h5,0.9401,"(3274, 16201)",3634.0,"(3078, 16201)",3634.0,316,4209,419711
Leprosy2_matrix.h5,0.5377,"(2122, 15077)",3110.0,"(1141, 15077)",1056.0,447,6908,420852
Psoriasis3_matrix.h5,0.994,"(3163, 15133)",1989.0,"(3144, 15133)",1756.0,241,3546,423996
GA2_matrix.h5,0.9612,"(1854, 14568)",4425.0,"(1782, 14568)",4425.0,313,3987,425778
Leprosy3_matrix.h5,0.7625,"(1899, 15208)",4443.0,"(1448, 15208)",4443.0,271,5869,427226
Acne4_matrix.h5,0.7991,"(1110, 14225)",1983.0,"(887, 14225)",1203.0,356,5247,428113
Psoriasis5_matrix.h5,0.9823,"(5081, 15633)",1798.0,"(4991, 15633)",1798.0,333,3895,433104
Psoriasis1_matrix.h5,0.8027,"(1627, 16282)",2728.0,"(1306, 16282)",2728.0,412,4320,434410
PB_GATA2T354M_F_matrix.h5,1.0,"(1727, 10296)",435.0,"(1727, 10296)",435.0,207,1429,436137
PB_26y_F_matrix.h5,1.0,"(1445, 11210)",681.0,"(1445, 11210)",681.0,522,2231,437582
PB_25y_F_2_matrix.h5,1.0,"(1486, 11313)",671.0,"(1486, 11313)",671.0,670,2386,439068
ICB2_S6_matrix.h5,0.7486,"(17300, 19302)",12269.0,"(12950, 19302)",8005.0,201,8153,452018
ICB1_S5_matrix.h5,0.7642,"(15135, 19379)",15070.0,"(11566, 19379)",4886.0,200,7758,463584
HC2_S2_matrix.h5,0.8668,"(12053, 19099)",21017.0,"(10448, 19099)",7817.0,200,8278,474032
HC4_S4_matrix.h5,0.8771,"(24310, 19354)",12506.0,"(21323, 19354)",12506.0,200,6891,495355
HC3_S3_matrix.h5,0.8421,"(18397, 19887)",13471.0,"(15492, 19887)",4395.0,201,7200,510847
IEI_S7_matrix.h5,0.6964,"(14737, 19320)",6808.0,"(10263, 19320)",603.0,200,8761,521110
HC1_S1_matrix.h5,0.7791,"(17228, 19443)",12271.0,"(13423, 19443)",2777.0,200,7879,534533
CCVC-2_matrix.h5,0.1948,"(16295, 17589)",5450.0,"(3174, 17589)",1692.0,201,7229,537707
RCVC_matrix.h5,0.2781,"(7587, 16761)",4313.0,"(2110, 16761)",1811.0,328,7723,539817
PCCVC-1_matrix.h5,0.1829,"(11034, 17153)",3687.0,"(2018, 17153)",1818.0,258,7241,541835
CCVC-1_matrix.h5,0.1237,"(9529, 16953)",6264.0,"(1179, 16953)",1567.0,200,6926,543014
PCCVC-2_matrix.h5,0.1263,"(12624, 17534)",17858.0,"(1594, 17534)",1709.0,228,6605,544608
PRCVC_matrix.h5,0.1096,"(8484, 16674)",5852.0,"(930, 16674)",1711.0,214,6833,545538
d1_stim_matrix.h5,1.0,"(3106, 11662)",1449.0,"(3106, 11662)",1449.0,473,2224,548644
d1_aIL10R_matrix.h5,1.0,"(2236, 11385)",1380.0,"(2236, 11385)",1380.0,489,2273,550880
d2_aIL10R_matrix.h5,1.0,"(2938, 11561)",1551.0,"(2938, 11561)",1551.0,492,2052,553818
d1_unstim_matrix.h5,1.0,"(2368, 11518)",367.0,"(2368, 11518)",367.0,492,2133,556186
SK_N_AS_matrix.h5,0.9783,"(600, 9669)",179.0,"(587, 9669)",162.0,565,3503,556773
Current_Smoker_2_matrix.h5,1.0,"(84, 6158)",799.0,"(84, 6158)",799.0,221,2211,556857
Current_Smoker_5_matrix.h5,1.0,"(62, 5360)",555.0,"(62, 5360)",555.0,206,2216,556919
Never_Smoker_3_matrix.h5,1.0,"(85, 6541)",989.0,"(85, 6541)",989.0,210,2314,557004
Never_Smoker_5_matrix.h5,1.0,"(87, 6080)",1015.0,"(87, 6080)",1015.0,217,2387,557091
Current_Smoker_1_matrix.h5,1.0,"(27, 3251)",750.0,"(27, 3251)",750.0,257,1955,557118
Never_Smoker_1_matrix.h5,1.0,"(89, 6272)",941.0,"(89, 6272)",941.0,221,1981,557207
Never_Smoker_6_matrix.h5,1.0,"(64, 4437)",904.0,"(64, 4437)",904.0,213,1663,557271
Current_Smoker_6_matrix.h5,0.9241,"(79, 7387)",778.0,"(73, 7387)",723.0,208,2582,557344
Current_Smoker_3_matrix.h5,0.8684,"(76, 7007)",624.0,"(66, 7007)",624.0,203,3101,557410
Current_Smoker_4_matrix.h5,0.8588,"(85, 7025)",583.0,"(73, 7025)",583.0,200,3126,557483
Never_Smoker_2_matrix.h5,0.963,"(81, 7125)",965.0,"(78, 7125)",965.0,245,2762,557561
Never_Smoker_4_matrix.h5,0.9753,"(81, 6569)",948.0,"(79, 6569)",862.0,231,2609,557640
RCC-PR9-PTumor_matrix.h5,0.9972,"(6503, 13752)",2616.0,"(6485, 13752)",2616.0,304,3724,564125
RCC-PR5-PTumor3_matrix.h5,0.9981,"(10153, 14399)",3719.0,"(10134, 14399)",3719.0,259,4265,574259
RCC-PR6-PTumor_matrix.h5,0.9871,"(3559, 13672)",4023.0,"(3513, 13672)",4023.0,203,4082,577772
RCC-PR9-Normal_matrix.h5,0.9736,"(3903, 14730)",5959.0,"(3800, 14730)",5959.0,371,3844,581572
RCC-PR3-PTumor2_matrix.h5,0.9991,"(10567, 14707)",1890.0,"(10557, 14707)",1890.0,272,3067,592129
RCC-PR5-PTumor1_matrix.h5,0.9975,"(8632, 14629)",5511.0,"(8610, 14629)",5511.0,310,4011,600739
RCC-PR6-Normal_matrix.h5,0.9507,"(1421, 13539)",2216.0,"(1351, 13539)",2216.0,436,3951,602090
RCC-PR2-Normal_matrix.h5,0.9825,"(1203, 13200)",2181.0,"(1182, 13200)",2181.0,312,3220,603272
RCC-PR3-PTumor1_matrix.h5,0.9985,"(9239, 14447)",3066.0,"(9225, 14447)",3066.0,261,3103,612497
RCC-PR4-PTumor_matrix.h5,0.9995,"(10562, 14813)",3326.0,"(10557, 14813)",3326.0,274,2899,623054
RCC-PR3-PTumor3_matrix.h5,0.9975,"(12338, 15082)",8374.0,"(12307, 15082)",8374.0,234,4117,635361
RCC-BM2-Normal_matrix.h5,0.8616,"(2298, 15356)",1270.0,"(1980, 15356)",957.0,609,4779,637341
RCC-BM2-PTumor1_matrix.h5,0.8823,"(4715, 15321)",12629.0,"(4160, 15321)",11415.0,587,4794,641501
RCC-PR1-PTumor_matrix.h5,0.9879,"(5039, 14516)",1054.0,"(4978, 14516)",1054.0,368,4595,646479
RCC-PR5-PTumor2_matrix.h5,0.9978,"(7686, 14031)",3970.0,"(7669, 14031)",3970.0,253,3345,654148
RCC-BM2-PTumor2_matrix.h5,0.9343,"(5267, 14936)",9445.0,"(4921, 14936)",6081.0,468,4893,659069
RCC-PR4-Normal_matrix.h5,0.998,"(3455, 13042)",6821.0,"(3448, 13042)",6821.0,217,2856,662517
RCC-PR3-Normal_matrix.h5,0.9992,"(4856, 14669)",3886.0,"(4852, 14669)",3886.0,276,3581,667369
RCC-PR8-Normal_matrix.h5,0.9909,"(1536, 13128)",3875.0,"(1522, 13128)",3875.0,282,3351,668891
RCC-PR2-PTumor_matrix.h5,0.9985,"(7331, 13991)",2399.0,"(7320, 13991)",2399.0,296,3065,676211
RCC-PR1-Normal_matrix.h5,0.9971,"(2441, 14038)",4889.0,"(2434, 14038)",4889.0,285,4039,678645
RCC-BM1-Normal_matrix.h5,0.9913,"(6774, 15512)",1994.0,"(6715, 15512)",1994.0,297,4761,685360
RCC-PR5-Normal_matrix.h5,0.9992,"(6548, 14039)",955.0,"(6543, 14039)",955.0,268,2927,691903
RCC-PR9-PTumor2_matrix.h5,0.9829,"(5687, 14417)",2329.0,"(5590, 14417)",1367.0,420,4212,697493
RCC-BM1-PTumor_matrix.h5,0.9982,"(9968, 14119)",4645.0,"(9950, 14119)",4645.0,214,3586,707443
RCC-PR7-PTumor_matrix.h5,0.9934,"(3610, 13927)",12970.0,"(3586, 13927)",12970.0,230,3637,711029
AN1-1_d12_matrix.h5,0.0795,"(3671, 21029)",2150.0,"(292, 21029)",485.0,233,10894,711321
H9_d26__matrix.h5,0.4071,"(11092, 21751)",12529.0,"(4516, 21751)",940.0,202,14022,715837
AN1-1_d19_matrix.h5,0.1981,"(1449, 20570)",8460.0,"(287, 20570)",641.0,202,13716,716124
H9_d12_matrix.h5,0.0536,"(10417, 22036)",19912.0,"(558, 22036)",745.0,235,14530,716682
AN1-1_d7_matrix.h5,0.0671,"(1817, 20493)",4977.0,"(122, 20493)",335.0,226,12285,716804
H9_d7_matrix.h5,0.0501,"(9556, 21843)",27457.0,"(479, 21843)",637.0,240,14468,717283
BJFF6_d26_matrix.h5,0.2355,"(4595, 21339)",17346.0,"(1082, 21339)",833.0,213,14111,718365
AN1-1_d26_matrix.h5,0.1491,"(5687, 21440)",17264.0,"(848, 21440)",461.0,207,13402,719213
H9_d16_matrix.h5,0.1085,"(12740, 22086)",21237.0,"(1382, 22086)",650.0,201,15606,720595
H9_d19_matrix.h5,0.1353,"(13285, 21996)",7407.0,"(1798, 21996)",765.0,221,12775,722393
YTK_matrix.h5,0.9624,"(4152, 13197)",6223.0,"(3996, 13197)",6223.0,207,2882,726389
Y16_matrix.h5,0.6994,"(4008, 13454)",13633.0,"(2803, 13454)",13633.0,219,4495,729192
YYZ_matrix.h5,0.9983,"(3571, 12300)",2810.0,"(3565, 12300)",2810.0,263,2444,732757
Y15_matrix.h5,0.5902,"(4424, 13782)",15043.0,"(2611, 13782)",12244.0,200,4981,735368
Y04_matrix.h5,0.6576,"(4436, 13425)",12162.0,"(2917, 13425)",12162.0,200,4668,738285
Y06_matrix.h5,0.6604,"(3645, 13227)",12276.0,"(2407, 13227)",12276.0,247,4463,740692
Y07_matrix.h5,0.3499,"(4118, 13602)",12262.0,"(1441, 13602)",7938.0,263,6018,742133
Y26_matrix.h5,0.5083,"(3675, 13591)",17780.0,"(1868, 13591)",12196.0,201,5431,744001
CID44041_matrix.h5,0.9192,"(2018, 14571)",5165.0,"(1855, 14571)",5165.0,219,4255,745856
CID44971_matrix.h5,0.8761,"(8375, 16572)",23805.0,"(7337, 16572)",23805.0,201,8260,753193
CID44991_matrix.h5,0.8106,"(4250, 15658)",13350.0,"(3445, 15658)",13350.0,201,7426,756638
CID4515_matrix.h5,0.7067,"(4326, 15928)",13436.0,"(3057, 15928)",13436.0,201,7823,759695
CID4513_matrix.h5,0.6971,"(5295, 15437)",12262.0,"(3691, 15437)",12262.0,201,8056,763386
donor1_matrix.h5,0.0565,"(25339, 21466)",39196.0,"(1432, 21466)",3221.0,886,9790,764818
P3_matrix.h5,0.9205,"(9026, 15792)",6883.0,"(8308, 15792)",6883.0,342,3928,773126
P2_matrix.h5,0.7462,"(3109, 15722)",5095.0,"(2320, 15722)",5095.0,636,3957,775446
P1_matrix.h5,0.5753,"(292, 13356)",2375.0,"(168, 13356)",1751.0,228,3932,775614
HEALTHY2_matrix.h5,0.574,"(4584, 19090)",3337.0,"(2631, 19090)",766.0,491,4917,778245
HCM823_matrix.h5,0.3837,"(4535, 19398)",1731.0,"(1740, 19398)",692.0,1313,4452,779985
HCM516_matrix.h5,0.459,"(4527, 19548)",3452.0,"(2078, 19548)",1181.0,1032,4855,782063
HCM483_matrix.h5,0.8027,"(3086, 18000)",2737.0,"(2477, 18000)",752.0,840,4912,784540
HCM752_matrix.h5,0.3871,"(3118, 19115)",3323.0,"(1207, 19115)",1291.0,386,4790,785747
HCM300_matrix.h5,0.4734,"(3887, 19291)",3039.0,"(1840, 19291)",1159.0,883,4807,787587
HEALTHY1B_matrix.h5,0.7492,"(5008, 18367)",2101.0,"(3752, 18367)",714.0,390,4832,791339
HEALTHY1A_matrix.h5,0.7372,"(5910, 18803)",2340.0,"(4357, 18803)",819.0,429,4761,795696
HCM456_matrix.h5,0.5656,"(3591, 19116)",4098.0,"(2031, 19116)",1127.0,996,4679,797727
HCM534_matrix.h5,0.4918,"(4042, 19368)",4934.0,"(1988, 19368)",1860.0,420,4802,799715
HCM763_matrix.h5,0.4268,"(3798, 19333)",2925.0,"(1621, 19333)",862.0,343,4907,801336
HCM770_matrix.h5,0.503,"(3964, 19391)",4658.0,"(1994, 19391)",1159.0,1112,4923,803330
HCM621_matrix.h5,0.3853,"(3574, 19311)",3881.0,"(1377, 19311)",970.0,800,4974,804707
P4_matrix.h5,0.9058,"(4597, 15068)",2520.0,"(4164, 15068)",1987.0,307,4611,808871
P3_B_matrix.h5,0.8911,"(11152, 16169)",3454.0,"(9937, 16169)",2002.0,323,4836,818808
P1_A_matrix.h5,0.9294,"(6432, 15288)",7626.0,"(5978, 15288)",7626.0,302,4788,824786
P5_B_matrix.h5,0.8458,"(7075, 15607)",6071.0,"(5984, 15607)",6071.0,302,4696,830770
P3_A_matrix.h5,0.8579,"(7802, 15841)",2675.0,"(6693, 15841)",1877.0,328,4877,837463
P1_B_matrix.h5,0.7529,"(4467, 15718)",5389.0,"(3363, 15718)",5389.0,309,4815,840826
P2_matrix.h5,0.6605,"(6846, 15863)",4753.0,"(4522, 15863)",2033.0,293,4823,845348
P6_B_matrix.h5,0.6786,"(8504, 15399)",11734.0,"(5771, 15399)",11734.0,300,4799,851119
P6_A_matrix.h5,0.8049,"(9096, 15167)",15459.0,"(7321, 15167)",15459.0,293,4863,858440
P5_A_matrix.h5,0.866,"(10278, 16118)",9854.0,"(8901, 16118)",2358.0,331,4704,867341
P6_C_matrix.h5,0.6907,"(8791, 15665)",8687.0,"(6072, 15665)",8687.0,302,4823,873413
C1_matrix.h5,0.7824,"(8668, 19680)",24860.0,"(6782, 19680)",24860.0,205,9243,880195
C3_matrix.h5,0.8847,"(9645, 19346)",25542.0,"(8533, 19346)",23624.0,200,7857,888728
MS7_matrix.h5,0.894,"(3330, 17681)",22256.0,"(2977, 17681)",19248.0,200,7974,891705
MS3_matrix.h5,0.8757,"(2670, 17383)",26113.0,"(2338, 17383)",18349.0,200,7882,894043
MS6_matrix.h5,0.9272,"(5093, 17837)",21259.0,"(4722, 17837)",17932.0,200,7088,898765
MS5_matrix.h5,0.9106,"(5147, 18081)",17112.0,"(4687, 18081)",16819.0,201,7543,903452
MS2_matrix.h5,0.8973,"(4031, 17859)",22271.0,"(3617, 17859)",16858.0,200,8383,907069
C4_matrix.h5,0.8905,"(4211, 11602)",24624.0,"(3750, 11602)",24624.0,201,4627,910819
C2_matrix.h5,0.8148,"(6252, 19164)",19138.0,"(5094, 19164)",19138.0,200,8077,915913
MS4_matrix.h5,0.8764,"(2533, 17094)",28591.0,"(2220, 17094)",19417.0,205,7798,918133
pSS-3_matrix.h5,0.955,"(4532, 13426)",2059.0,"(4328, 13426)",2059.0,238,3037,922461
pSS-4_matrix.h5,0.9532,"(4556, 13517)",3164.0,"(4343, 13517)",3164.0,215,2806,926804
HC-4_matrix.h5,0.9972,"(6893, 13761)",3247.0,"(6874, 13761)",3247.0,219,2491,933678
HC-3_matrix.h5,0.9803,"(6032, 13839)",1353.0,"(5913, 13839)",1353.0,204,2735,939591
pSS-2_matrix.h5,0.9912,"(4679, 13216)",5052.0,"(4638, 13216)",5052.0,200,2648,944229
HC-5_matrix.h5,0.993,"(3278, 13065)",1997.0,"(3255, 13065)",1997.0,226,2554,947484
