,idx
ALLC,664
ALMS1,665
ALMS1-IT1,666
ALOX5,667
ALOX5AP,668
ALOX12,669
ALOX12-AS1,670
ALOX12B,671
ALOX15,672
ALOX15B,673
ALOXE3,674
ALPG,675
ALPI,676
ALPK1,677
ALPK2,678
ALPK3,679
ALPL,680
ALPP,681
ALS2,682
ALS2CL,683
ALX1,684
ALX3,685
ALX4,686
ALYREF,687
AMACR,688
AMBN,689
AMBP,690
AMBRA1,691
AMD1,692
AMDHD1,693
AMDHD2,694
AMELX,695
AMELY,696
AMER1,697
AMER2,698
AMER3,699
AMFR,700
AMH,701
AMHR2,702
AMIGO1,703
AMIGO2,704
AMIGO3,705
AMMECR1,706
AMMECR1-IT1,707
AMMECR1L,708
AMN,709
AMN1,710
AMOT,711
AMOTL1,712
AMOTL2,713
AMPD1,714
AMPD2,715
AMPD3,716
AMPH,717
AMT,718
AMTN,719
AMY1A,720
AMY1B,721
AMY1C,722
AMY2A,723
AMY2B,724
AMZ1,725
AMZ2,726
ANAPC1,727
ANAPC2,728
ANAPC4,729
ANAPC5,730
ANAPC7,731
ANAPC10,732
ANAPC11,733
ANAPC13,734
ANAPC15,735
ANAPC16,736
ANG,737
ANGEL1,738
ANGEL2,739
ANGPT1,740
ANGPT2,741
ANGPT4,742
ANGPTL1,743
ANGPTL2,744
ANGPTL3,745
ANGPTL4,746
ANGPTL5,747
ANGPTL6,748
ANGPTL7,749
ANGPTL8,750
ANHX,751
ANK1,752
ANK2,753
ANK2-AS1,754
ANK3,755
ANK3-DT,756
ANKAR,757
ANKDD1A,758
ANKDD1B,759
ANKEF1,760
ANKFN1,761
ANKFY1,762
ANKH,763
ANKH-DT,764
ANKHD1,765
ANKHD1-DT,766
ANKHD1-EIF4EBP3,767
ANKIB1,768
ANKK1,769
ANKLE1,770
ANKLE2,771
ANKMY1,772
ANKMY2,773
ANKRA2,774
ANKRD1,775
ANKRD2,776
ANKRD6,777
ANKRD7,778
ANKRD9,779
ANKRD10,780
ANKRD10-IT1,781
ANKRD11,782
ANKRD12,783
ANKRD13A,784
ANKRD13B,785
ANKRD13C,786
ANKRD13D,787
ANKRD16,788
ANKRD17,789
ANKRD17-DT,790
ANKRD18A,791
ANKRD18B,792
ANKRD20A1,793
ANKRD22,794
ANKRD23,795
ANKRD24,796
ANKRD26,797
ANKRD27,798
ANKRD28,799
ANKRD29,800
ANKRD30A,801
ANKRD30B,802
ANKRD30BL,803
ANKRD31,804
ANKRD33,805
ANKRD33B,806
ANKRD33B-AS1,807
ANKRD34A,808
ANKRD34B,809
ANKRD34C,810
ANKRD34C-AS1,811
ANKRD35,812
ANKRD36,813
ANKRD36B,814
ANKRD36C,815
ANKRD37,816
ANKRD39,817
ANKRD40,818
ANKRD40CL,819
ANKRD42,820
ANKRD42-DT,821
ANKRD44,822
ANKRD44-AS1,823
ANKRD44-IT1,824
ANKRD45,825
ANKRD46,826
ANKRD49,827
ANKRD50,828
ANKRD52,829
ANKRD53,830
ANKRD54,831
ANKRD55,832
ANKRD60,833
ANKRD61,834
ANKRD62,835
ANKRD62P1-PARP4P3,836
ANKRD63,837
ANKRD65,838
ANKRD66,839
ANKS1A,840
ANKS1B,841
ANKS3,842
ANKS4B,843
ANKS6,844
ANKUB1,845
ANKZF1,846
ANLN,847
ANO1,848
ANO1-AS1,849
ANO2,850
ANO3,851
ANO3-AS1,852
ANO4,853
ANO5,854
ANO6,855
ANO7,856
ANO8,857
ANO9,858
ANO10,859
ANOS1,860
ANP32A,861
ANP32A-IT1,862
ANP32B,863
ANP32D,864
ANP32E,865
ANPEP,866
ANTKMT,867
ANTXR1,868
ANTXR2,869
ANTXRL,870
ANXA1,871
ANXA2,872
ANXA2R,873
ANXA2R-AS1,874
ANXA2R-OT1,875
ANXA3,876
ANXA4,877
ANXA5,878
ANXA6,879
ANXA7,880
ANXA8,881
ANXA8L1,882
ANXA9,883
ANXA10,884
ANXA11,885
ANXA13,886
AOAH,887
AOAH-IT1,888
AOC1,889
AOC2,890
AOC3,891
AOPEP,892
AOX1,893
AOX3P-AOX2P,894
AP1AR,895
AP1AR-DT,896
AP1B1,897
AP1G1,898
AP1G2,899
AP1G2-AS1,900
AP1M1,901
AP1M2,902
AP1S1,903
AP1S2,904
AP1S3,905
AP2A1,906
AP2A2,907
AP2B1,908
AP2M1,909
AP2S1,910
AP3B1,911
AP3B2,912
AP3D1,913
AP3M1,914
AP3M2,915
AP3S1,916
AP3S2,917
AP4B1,918
AP4B1-AS1,919
AP4E1,920
AP4M1,921
AP4S1,922
AP5B1,923
AP5M1,924
AP5S1,925
AP5Z1,926
APAF1,927
APBA1,928
APBA2,929
APBA3,930
APBB1,931
APBB1IP,932
APBB2,933
APBB3,934
APC,935
APC2,936
APCDD1,937
APCDD1L,938
APCDD1L-DT,939
APCS,940
APEH,941
APELA,942
APEX1,943
APEX2,944
APH1A,945
APH1B,946
API5,947
APIP,948
APLF,949
APLN,950
APLNR,951
APLP1,952
APLP2,953
APMAP,954
APOA1,955
APOA1-AS,956
APOA2,957
APOA4,958
APOA5,959
APOB,960
APOBEC1,961
APOBEC2,962
APOBEC3A,963
APOBEC3B,964
APOBEC3B-AS1,965
APOBEC3C,966
APOBEC3D,967
APOBEC3F,968
APOBEC3G,969
APOBEC3H,970
APOBEC4,971
APOBR,972
APOC1,973
APOC2,974
APOC3,975
APOC4,976
APOC4-APOC2,977
APOD,978
APOE,979
APOF,980
APOH,981
APOL1,982
APOL2,983
APOL3,984
APOL4,985
APOL5,986
APOL6,987
APOLD1,988
APOM,989
APOO,990
APOOL,991
APP,992
APP-DT,993
APPAT,994
APPBP2,995
APPBP2-DT,996
APPL1,997
APPL2,998
APRG1,999
APRT,1000
APTR,1001
APTX,1002
AQP1,1003
AQP2,1004
AQP3,1005
AQP4,1006
AQP4-AS1,1007
AQP5,1008
AQP5-AS1,1009
AQP6,1010
AQP7,1011
AQP7B,1012
AQP8,1013
AQP9,1014
AQP10,1015
AQP11,1016
AQP12A,1017
AQP12B,1018
AQR,1019
AR,1020
ARAF,1021
ARAP1,1022
ARAP1-AS1,1023
ARAP1-AS2,1024
ARAP2,1025
ARAP3,1026
ARC,1027
ARCN1,1028
AREG,1029
AREL1,1030
ARF1,1031
ARF3,1032
ARF4,1033
ARF4-AS1,1034
ARF5,1035
ARF6,1036
ARFGAP1,1037
ARFGAP2,1038
ARFGAP3,1039
ARFGEF1,1040
ARFGEF1-DT,1041
ARFGEF2,1042
ARFGEF3,1043
ARFIP1,1044
ARFIP2,1045
ARFRP1,1046
ARG1,1047
ARG2,1048
ARGFX,1049
ARGLU1,1050
ARHGAP1,1051
ARHGAP4,1052
ARHGAP5,1053
ARHGAP5-AS1,1054
ARHGAP6,1055
ARHGAP8,1056
ARHGAP9,1057
ARHGAP10,1058
ARHGAP11A,1059
ARHGAP11B,1060
ARHGAP11B-DT,1061
ARHGAP12,1062
ARHGAP15,1063
ARHGAP15-AS1,1064
ARHGAP17,1065
ARHGAP18,1066
ARHGAP19,1067
ARHGAP19-SLIT1,1068
ARHGAP20,1069
ARHGAP21,1070
ARHGAP22,1071
ARHGAP22-IT1,1072
ARHGAP23,1073
ARHGAP24,1074
ARHGAP25,1075
ARHGAP26,1076
ARHGAP26-AS1,1077
ARHGAP26-IT1,1078
ARHGAP27,1079
ARHGAP27P1-BPTFP1-KPNA2P3,1080
ARHGAP28,1081
ARHGAP28-AS1,1082
ARHGAP29,1083
ARHGAP29-AS1,1084
ARHGAP30,1085
ARHGAP31,1086
ARHGAP31-AS1,1087
ARHGAP32,1088
ARHGAP33,1089
ARHGAP35,1090
ARHGAP36,1091
ARHGAP39,1092
ARHGAP40,1093
ARHGAP42,1094
ARHGAP42-AS1,1095
ARHGAP44,1096
ARHGAP44-AS1,1097
ARHGAP45,1098
ARHGDIA,1099
ARHGDIB,1100
ARHGDIG,1101
ARHGEF1,1102
ARHGEF2,1103
ARHGEF2-AS1,1104
ARHGEF2-AS2,1105
ARHGEF3,1106
ARHGEF3-AS1,1107
ARHGEF4,1108
ARHGEF5,1109
ARHGEF6,1110
ARHGEF7,1111
ARHGEF7-AS1,1112
ARHGEF7-AS2,1113
ARHGEF7-IT1,1114
ARHGEF9,1115
ARHGEF9-IT1,1116
ARHGEF10,1117
ARHGEF10L,1118
ARHGEF11,1119
ARHGEF12,1120
ARHGEF15,1121
ARHGEF16,1122
ARHGEF17,1123
ARHGEF17-AS1,1124
ARHGEF18,1125
ARHGEF18-AS1,1126
ARHGEF19,1127
ARHGEF19-AS1,1128
ARHGEF25,1129
ARHGEF26,1130
ARHGEF26-AS1,1131
ARHGEF28,1132
ARHGEF33,1133
ARHGEF35,1134
ARHGEF35-AS1,1135
ARHGEF37,1136
ARHGEF38,1137
ARHGEF38-IT1,1138
ARHGEF39,1139
ARHGEF40,1140
ARID1A,1141
ARID1B,1142
ARID2,1143
ARID3A,1144
ARID3B,1145
ARID3C,1146
ARID4A,1147
ARID4B,1148
ARID5A,1149
ARID5B,1150
ARIH1,1151
ARIH2,1152
ARIH2OS,1153
ARK2C,1154
ARK2N,1155
ARL1,1156
ARL2,1157
ARL2-SNX15,1158
ARL2BP,1159
ARL3,1160
ARL4A,1161
ARL4C,1162
ARL4D,1163
ARL5A,1164
ARL5B,1165
ARL5C,1166
ARL6,1167
ARL6IP1,1168
ARL6IP4,1169
ARL6IP5,1170
ARL6IP6,1171
ARL8A,1172
ARL8B,1173
ARL9,1174
ARL10,1175
ARL11,1176
ARL13A,1177
ARL13B,1178
ARL14,1179
ARL14EP,1180
ARL14EP-DT,1181
ARL14EPL,1182
ARL15,1183
ARL16,1184
ARL17A,1185
ARL17B,1186
ARLNC1,1187
ARMC1,1188
ARMC2,1189
ARMC2-AS1,1190
ARMC3,1191
ARMC5,1192
ARMC6,1193
ARMC7,1194
ARMC8,1195
ARMC9,1196
ARMC10,1197
ARMC12,1198
ARMCX1,1199
ARMCX2,1200
ARMCX3,1201
ARMCX3-AS1,1202
ARMCX4,1203
ARMCX5,1204
ARMCX5-GPRASP2,1205
ARMCX6,1206
ARMH1,1207
ARMH2,1208
ARMH3,1209
ARMH4,1210
ARMS2,1211
ARMT1,1212
ARNILA,1213
ARNT,1214
ARNT2,1215
ARNT2-DT,1216
ARPC1A,1217
ARPC1B,1218
ARPC2,1219
ARPC3,1220
ARPC4,1221
ARPC4-TTLL3,1222
ARPC5,1223
ARPC5L,1224
ARPIN,1225
ARPIN-AP3S2,1226
ARPP19,1227
ARPP21,1228
ARPP21-AS1,1229
ARR3,1230
ARRB1,1231
ARRB2,1232
ARRDC1,1233
ARRDC1-AS1,1234
ARRDC2,1235
ARRDC3,1236
ARRDC3-AS1,1237
ARRDC4,1238
ARRDC5,1239
ARSA,1240
ARSB,1241
ARSD,1242
ARSD-AS1,1243
ARSF,1244
ARSG,1245
ARSH,1246
ARSI,1247
ARSJ,1248
ARSK,1249
ARSL,1250
ART1,1251
ART3,1252
ART4,1253
ART5,1254
ARTN,1255
ARV1,1256
ARVCF,1257
ARX,1258
AS3MT,1259
ASAH1,1260
ASAH1-AS1,1261
ASAH2,1262
ASAH2B,1263
ASAP1,1264
ASAP1-IT1,1265
ASAP1-IT2,1266
ASAP2,1267
ASAP3,1268
ASB1,1269
ASB2,1270
ASB3,1271
ASB4,1272
ASB5,1273
ASB6,1274
ASB7,1275
ASB8,1276
ASB9,1277
ASB10,1278
ASB11,1279
ASB12,1280
ASB13,1281
ASB14,1282
ASB15,1283
ASB15-AS1,1284
ASB16,1285
ASB16-AS1,1286
ASB17,1287
ASB18,1288
ASCC1,1289
ASCC2,1290
ASCC3,1291
ASCL1,1292
ASCL2,1293
ASCL3,1294
ASCL4,1295
ASCL5,1296
ASDURF,1297
ASF1A,1298
ASF1B,1299
ASGR1,1300
ASGR2,1301
ASH1L,1302
ASH1L-AS1,1303
ASH1L-IT1,1304
ASH2L,1305
ASIC1,1306
ASIC2,1307
ASIC3,1308
ASIC4,1309
ASIC4-AS1,1310
ASIC5,1311
ASIP,1312
ASL,1313
ASMER1,1314
ASMT,1315
ASMTL,1316
ASMTL-AS1,1317
ASNS,1318
ASNSD1,1319
ASPA,1320
ASPDH,1321
ASPG,1322
ASPH,1323
ASPHD1,1324
ASPHD2,1325
ASPM,1326
ASPN,1327
ASPRV1,1328
ASPSCR1,1329
ASRGL1,1330
ASS1,1331
ASTE1,1332
ASTL,1333
ASTN1,1334
ASTN2,1335
ASTN2-AS1,1336
ASXL1,1337
ASXL2,1338
ASXL3,1339
ASXL3-DT,1340
ASZ1,1341
ATAD1,1342
ATAD2,1343
ATAD2B,1344
ATAD3A,1345
ATAD3B,1346
ATAD3C,1347
ATAD5,1348
ATAT1,1349
ATCAY,1350
ATE1,1351
ATF1,1352
ATF2,1353
ATF3,1354
ATF4,1355
ATF5,1356
ATF6,1357
ATF6-DT,1358
ATF6B,1359
ATF7,1360
ATF7-NPFF,1361
ATF7IP,1362
ATF7IP2,1363
ATG2A,1364
ATG2B,1365
ATG3,1366
ATG4A,1367
ATG4B,1368
ATG4C,1369
ATG4D,1370
ATG5,1371
ATG7,1372
ATG9A,1373
ATG9B,1374
ATG10,1375
ATG10-AS1,1376
ATG10-IT1,1377
ATG12,1378
ATG13,1379
ATG14,1380
ATG16L1,1381
ATG16L2,1382
ATG101,1383
ATIC,1384
ATL1,1385
ATL2,1386
ATL3,1387
ATM,1388
ATMIN,1389
ATN1,1390
ATOH1,1391
ATOH7,1392
ATOH8,1393
ATOSA,1394
ATOSB,1395
ATOX1,1396
ATOX1-AS1,1397
ATP1A1,1398
ATP1A1-AS1,1399
ATP1A2,1400
ATP1A3,1401
ATP1A4,1402
ATP1B1,1403
ATP1B2,1404
ATP1B3,1405
ATP1B3-AS1,1406
ATP1B4,1407
ATP2A1,1408
ATP2A1-AS1,1409
ATP2A2,1410
ATP2A3,1411
ATP2B1,1412
ATP2B1-AS1,1413
ATP2B2,1414
ATP2B2-IT1,1415
ATP2B2-IT2,1416
ATP2B3,1417
ATP2B4,1418
ATP2C1,1419
ATP2C2,1420
ATP2C2-AS1,1421
ATP4A,1422
ATP4B,1423
ATP5F1A,1424
ATP5F1B,1425
ATP5F1C,1426
ATP5F1D,1427
ATP5F1E,1428
ATP5IF1,1429
ATP5MC1,1430
ATP5MC2,1431
ATP5MC3,1432
ATP5ME,1433
ATP5MF,1434
ATP5MF-PTCD1,1435
ATP5MG,1436
ATP5MGL,1437
ATP5MJ,1438
ATP5MK,1439
ATP5PB,1440
ATP5PD,1441
ATP5PF,1442
ATP5PO,1443
ATP6AP1,1444
ATP6AP1-DT,1445
ATP6AP2,1446
ATP6V1A,1447
ATP6V1B1,1448
ATP6V1B1-AS1,1449
ATP6V1B2,1450
ATP6V1C1,1451
ATP6V1C2,1452
ATP6V1D,1453
ATP6V1E1,1454
ATP6V1E2,1455
ATP6V1F,1456
ATP6V1FNB,1457
SPMIP1,1457
ATP6V1G1,1458
ATP6V1G2,1459
ATP6V1G2-DDX39B,1460
ATP6V1G3,1461
ATP6V1H,1462
ATP6V0A1,1463
ATP6V0A2,1464
ATP6V0A4,1465
ATP6V0B,1466
ATP6V0C,1467
ATP6V0D1,1468
ATP6V0D1-DT,1469
ATP6V0D2,1470
ATP6V0E1,1471
ATP6V0E2,1472
ATP6V0E2-AS1,1473
ATP7A,1474
ATP7B,1475
ATP8A1,1476
ATP8A2,1477
ATP8B1,1478
ATP8B1-AS1,1479
ATP8B2,1480
ATP8B3,1481
ATP8B4,1482
ATP9A,1483
ATP9B,1484
ATP10A,1485
ATP10A-DT,1486
ATP10B,1487
ATP10D,1488
ATP11A,1489
ATP11A-AS1,1490
ATP11AUN,1491
ATP11B,1492
ATP11B-DT,1493
ATP11C,1494
ATP12A,1495
ATP13A1,1496
ATP13A2,1497
ATP13A3,1498
ATP13A3-DT,1499
ATP13A4,1500
ATP13A4-AS1,1501
ATP13A5,1502
ATP13A5-AS1,1503
ATP23,1504
ATPAF1,1505
ATPAF2,1506
ATPSCKMT,1507
ATR,1508
ATRAID,1509
ATRIP,1510
ATRN,1511
ATRNL1,1512
ATRX,1513
ATXN1,1514
ATXN1-AS1,1515
ATXN1L,1516
ATXN2,1517
ATXN2-AS,1518
ATXN2L,1519
ATXN3,1520
ATXN3L,1521
ATXN7,1522
ATXN7L1,1523
ATXN7L2,1524
ATXN7L3,1525
ATXN7L3-AS1,1526
ATXN7L3B,1527
ATXN8,1528
ATXN8OS,1529
ATXN10,1530
AUH,1531
AUNIP,1532
